Nombre de la Institución o Empresa,Sector,Entidad Federativa
GOBIERNO DEL ESTADO DE SINALOA / COMISION ESTATAL DE ENERGIA DE SINALOA,ACTIVIDADES DEL GOBIERNO Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES,SINALOA
"CONSTRUCCION E INGENIERIA AMBIENTAL, S.A. DE C.V.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,SINALOA
INNOVACION Y DESARROLLO EN MATERIALES AVANZADOS AC,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,SAN LUIS POTOSI
AGUAS LATINAS MEXICO S DE RL DE CV,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,DISTRITO FEDERAL
"INSTITUTO DE ESTUDIOS SUPERIORES DE LAS CALIFORNIAS, A.C",SERVICIOS EDUCATIVOS,BAJA CALIFORNIA SUR 
SERVICIOS PROFESIONALES DE SOFTWARE ODACC S DE RL DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,BAJA CALIFORNIA
"CINCO DISTRIBUIDORA DE ACERO, S.A. DE C.V.",INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,NUEVO LEON 
GENBIO S.A. DE C.V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
"PEFRALEGO, S. DE S.S.","INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",TAMAULIPAS
"DESARROLLADORA DE SOLUCIONES SUSTENTABLES, S. DE R.L. DE C.V.","INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",NUEVO LEON 
"COLEGIO DE ARQUITECTOS DEL MUNICIPIO DE SOLIDARIDAD, A.C.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,QUINTANA ROO
LABORATORIO DE CONTROL ANALÍTICO SAPI DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,JALISCO
"SOLAR-TE ENERGIA RENOVABLE, S. DE R.L. DE M.I.",ELECTRICIDAD AGUA Y SUMINISTRO DE GAS POR DUCTOS AL CONSUMIDOR FINAL,NUEVO LEON 
"SIOS INGENIERIA, S.A. DE C.V.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,NUEVO LEON 
ASOCIACION DE EMPRESAS DE TECNOLOGIAS DE INFORMACION DEL ESTADO DE CHIAPAS AC,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,CHIAPAS
CARNES LA CATEDRAL SA DE CV,AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,COAHUILA
UNIVERSIDAD DE CUAUTITLAN IZCALLI SC,SERVICIOS EDUCATIVOS,ESTADO DE MEXICO
HUTCHINSON AUTOPARTES MEXICO S.A. DE C.V.,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,GUANAJUATO
PROVECERAMIC S.A. DE C.V.,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",SAN LUIS POTOSI
EDUCACION A DEBATE AC,INFORMACION EN MEDIOS MASIVOS,DISTRITO FEDERAL
"GOBIERNO DEL ESTADO DE ZACATECAS / CONSEJO ZACATECANO DE CIENCIA, TECNOLOGÍA E INNOVACIÓN / CENTRO INTERACTIVO DE CIENCIA Y TECNOLOGÍA DE ZACATECAS ""ZIGZAG""",SERVICIOS EDUCATIVOS,ZACATECAS
CELAY S.A. DE C.V.,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,GUANAJUATO
SERVICIOS PORTUARIOS S.A. DE C.V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,BAJA CALIFORNIA
VENTA COLECTIVA HOTELERA TT SA DE CV,OTROS SERVICIOS EXCEPTO ACTIVIDADES DEL GOBIERNO,SINALOA
PROCESADORA INTERNACIONAL DE CARNES S.A DE C.V,"INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",NUEVO LEON 
DESARROLLADORA INTEGRAL MAR DE CORTEZ S DE RL DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,BAJA CALIFORNIA
TECHNOLOGY & DEVELOP CORPORATION S.A. DE C.V.,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,ESTADO DE MEXICO
HOLI BIOTEK SAPI DE CV,"INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",JALISCO
"MOBILISSIMO PAGOS Y MERCADOTECNIA MOVIL, SAPI DE CV",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
"CONSTRUCCIONES Y DESARROLLOS RURALES, S.A. DE C. V.",CONSTRUCCION,COAHUILA
"CONSULTORES EN COMPETITIVIDAD REGIONAL, S.A. DE C.V.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,NUEVO LEON 
TECHNOLOGY AND INTERACTIVE DEVELOPMENTS S.A. DE C.V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,SAN LUIS POTOSI
INGENIERIA TECNOLOGIA Y PROYECTOS AMBIENTALES DEL BAJIO S.C.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,GUANAJUATO
AGRICOLA PASO FIRME SPR DE RL,AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,GUANAJUATO
SUKARNE PRODUCCION SA DE CV,AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,BAJA CALIFORNIA
"PROMOTORA TECNICA INDUSTRIAL, S.A DE C.V.","INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",MORELOS
PLASTHERMO SA DE CV,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",JALISCO
OASIS AGUA PURIFICADA S.A. DE C.V.,"INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",TAMAULIPAS
GOBIERNO DEL ESTADO DE SONORA / SECRETARIA DE EDUCACION Y CULTURA DEL ESTADO DE SONORA / CENTRO REGIONAL DE FORMACION DOCENTE E INVESTIGACION EDUCATIVA,SERVICIOS EDUCATIVOS,SONORA
ACCIONA ENERGIA MEXICO S DE RL DE CV,ELECTRICIDAD AGUA Y SUMINISTRO DE GAS POR DUCTOS AL CONSUMIDOR FINAL,DISTRITO FEDERAL
