Nombre de la Institución o Empresa,Sector,Entidad Federativa
SOCIEDADES MERCANTILES DAMA NEGRA S.A DE C.V,"AGRICULTURA, CRÍA Y EXPLOTACIÓN DE ANIMALES, APROVECHAMIENTO FORESTAL, PESCA Y CAZA",GUERRERO
SOFTWARE GURU SAPI DE CV,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",HIDALGO
SOGNO CONTROL SA DE CV,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",JALISCO
SOLAM S.A. DE C.V.,"SERVICIOS DE APOYO A LOS NEGOCIOS Y MANEJO DE RESIDUOS Y DESECHOS, Y SERVICIOS DE REMEDIACIÓN",JALISCO
SOLARCELL S.A.P.I. DE C.V.,"GENERACIÓN, TRANSMISIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA, SUMINISTRO DE AGUA Y DE GAS POR DUCTOS AL CONSUMIDOR FINAL",GUANAJUATO
SOLARSNAPS SAPI DE CV,"GENERACIÓN, TRANSMISIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA, SUMINISTRO DE AGUA Y DE GAS POR DUCTOS AL CONSUMIDOR FINAL",SONORA
"SOLARVATIO, S.A. DE C.V.",INDUSTRIAS MANUFACTURERAS,OAXACA
SOLEXVINTEL ALIMENTOS SAPI DE CV,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",CIUDAD DE MÉXICO
"SOLEXVINTEL, S.A. DE C.V.","SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",CIUDAD DE MÉXICO
SOLID INTEGRATIONS MEXICO S. DE R.L. DE C.V.,INDUSTRIAS MANUFACTURERAS,CHIHUAHUA
SOLID PRECISION ENGINEERING AND INNOVATION SA DE CV,INDUSTRIAS MANUFACTURERAS,BAJA CALIFORNIA
SOLIDO INNOVA S.A. DE C.V.,INDUSTRIAS MANUFACTURERAS,COLIMA
SOLUCION E IMPORTACION SONOYTA S.A. DE C.V.,"TRANSPORTES, CORREOS Y ALMACENAMIENTO",SONORA
SOLUCION EN TECNOLÓGIAS AVANZADAS S.A. DE C.V.,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",CAMPECHE
"SOLUCION INTEGRAL DE FACTURACION ELECTRONICA E INFORMATICA SIFEI, S.A. DE C.V.","SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",VERACRUZ DE IGNACIO DE LA LLAVE
SOLUCIÓN TOTAL DE ENERGÍA S.A. DE C.V.,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",CIUDAD DE MÉXICO
SOLUCIONES AGRICOLAS Y LOGISTICAS DE MEXICO S.A DE C.V.,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",MICHOACÁN DE OCAMPO
SOLUCIONES AVANZADAS PARA EL DESARROLLO INSTITUCIONAL SC,OTROS SERVICIOS EXCEPTO ACTIVIDADES GUBERNAMENTALES,TABASCO
SOLUCIONES BIOELECTRÓNICAS SA DE CV,INDUSTRIAS MANUFACTURERAS,JALISCO
SOLUCIONES BIOTECNOLOGICAS 3E SAPI DE CV,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",JALISCO
SOLUCIONES CADI SA DE CV,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",MÉXICO
SOLUCIONES CONTRA EL CAMBIO CLIMÁTICO SA DE CV,"AGRICULTURA, CRÍA Y EXPLOTACIÓN DE ANIMALES, APROVECHAMIENTO FORESTAL, PESCA Y CAZA",PUEBLA
SOLUCIONES DE AHORRO VERDE S.A. DE C.V.,"GENERACIÓN, TRANSMISIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA, SUMINISTRO DE AGUA Y DE GAS POR DUCTOS AL CONSUMIDOR FINAL",CIUDAD DE MÉXICO
"SOLUCIONES DE FOMENTO A LA INNOVACIÓN CIENTÍFICA Y TECNOLÓGICA SOFICTE, S.C.","SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",CIUDAD DE MÉXICO
SOLUCIONES ECOLOGICAS DEL DESIERTO SA DE CV,"SERVICIOS DE APOYO A LOS NEGOCIOS Y MANEJO DE RESIDUOS Y DESECHOS, Y SERVICIOS DE REMEDIACIÓN",SONORA
"SOLUCIONES ECOLOGICAS PDM, S DE RL DE CV","SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",SONORA
SOLUCIONES EMPRESARIALES Y ESPACIOS VAHE SA DE CV,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",HIDALGO
SOLUCIONES ENERGÉTICAS SUSTENTABLES M&D ECOENERGÍA SAPI DE CV,INDUSTRIAS MANUFACTURERAS,MICHOACÁN DE OCAMPO
SOLUCIONES ESTRATÉGICAS SBM S.A. DE C.V.,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",JALISCO
SOLUCIONES FISCALES Y TECNOLOGICAS S.A DE C.V,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",YUCATÁN
SOLUCIONES ID DESARROLLADORA DE SOFTWARE EN LINEA S.A. DE C.V.,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",YUCATÁN
SOLUCIONES INNOVADORAS DE APRENDIZAJE S.A. DE C.V.,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",SINALOA
"SOLUCIONES INTEGRALES EN SEGURIDAD, HIGIENE Y MEDIO AMBIENTE, S.C.","SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",SAN LUIS POTOSÍ
SOLUCIONES INTEGRALES PARA TRITURACION SA DE CV,COMERCIO AL POR MAYOR,JALISCO
"SOLUCIONES INTEGRALES RFID, S.A DE C.V.",INDUSTRIAS MANUFACTURERAS,MÉXICO
SOLUCIONES INTELIGENTES EN INFORMATICA SA DE CV,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",QUERÉTARO
SOLUCIONES QUÍMICAS GLOBALES S. DE R.L. MI,COMERCIO AL POR MAYOR,HIDALGO
SOLUCIONES TECNOLÓGICAS E INTERACTIVAS SA DE CV,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",QUINTANA ROO
"SOLUCIONES Y HERRAMIENTAS EN LA NUBE, S. DE R.L. DE C.V.",INFORMACIÓN EN MEDIOS MASIVOS,JALISCO
SOLUCIONES Y PROCESOS MECATRONICOS S.DE R.L. DE C.V.,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",HIDALGO
"SOLUCIONES, EVENTOS Y SERVICIOS INTEGRALES, MAJUMARO S.A. DE C.V.","SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",CIUDAD DE MÉXICO
SOMBRA MEZCAL S. DE R.L. DE C.V.,INDUSTRIAS MANUFACTURERAS,OAXACA
SOMELIER PROYECCIONES S.A.,INDUSTRIAS MANUFACTURERAS,TABASCO
"SOMERSET TECHNOLOGIES, S.A. DE C.V.","SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",MORELOS
SONDERN INGENIERIA Y DISEÑO SA DE CV,INDUSTRIAS MANUFACTURERAS,GUANAJUATO
SOSTENIBILIDAD GLOBAL AC,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",CIUDAD DE MÉXICO
SOT INC SA DE CV,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",CAMPECHE
SPOTIT S. DE R.L. DE C.V,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",CHIHUAHUA
SPS INTERNACIONAL S.A. DE C.V.,"SERVICIOS DE APOYO A LOS NEGOCIOS Y MANEJO DE RESIDUOS Y DESECHOS, Y SERVICIOS DE REMEDIACIÓN",JALISCO
STAMINA BUSINESS SCP,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",YUCATÁN
"STAMPING STEEL & TRUCKS, S.A. DE C.V.",INDUSTRIAS MANUFACTURERAS,QUERÉTARO
STAR MILLING DE MEXICO SA DE CV,COMERCIO AL POR MAYOR,BAJA CALIFORNIA
STARTBLUEUP INNOVATION SAPI DE CV,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",CIUDAD DE MÉXICO
STARTBLUEUP S A P I  DE C V,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",CIUDAD DE MÉXICO
STARTUP BROKERS 888 SA DE CV,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",COAHUILA DE ZARAGOZA
STEEL & TRUCKS SA DE CV,INDUSTRIAS MANUFACTURERAS,QUERÉTARO
STEVIASON SA DE CV,INDUSTRIAS MANUFACTURERAS,SONORA
STRAINBIOTECH S.C.,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",GUANAJUATO
"STRATASCAN MÉXICO, S.A. DE C.V.","SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",TABASCO
STRATEGICS DE MEXICO SA DE CV,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",BAJA CALIFORNIA SUR
STRATOMINDS CAPACITACION S.A. DE C.V.,SERVICIOS EDUCATIVOS,CIUDAD DE MÉXICO
"SUBLI DE MEXICO, S. DE R.L. DE C.V.",INDUSTRIAS MANUFACTURERAS,DURANGO
SUBLI IMPRESOS MURR SA DE CV,COMERCIO AL POR MAYOR,DURANGO
SUD SOLUTIONS,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",TABASCO
"SUMINISTROS INDUSTRIALES DEL MAYAB, S.A. DE C.V.","SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",CAMPECHE
SUNBIONICS S.A. DE C.V.,INDUSTRIAS MANUFACTURERAS,SONORA
SUNIT SAPI DE CV,COMERCIO AL POR MAYOR,CHIHUAHUA
SUPAADA CONSULTING SA DE CV,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",CIUDAD DE MÉXICO
SUPER DIESEL S A DE C V,INDUSTRIAS MANUFACTURERAS,JALISCO
"SUPERIOR INDUSTRIES DE MÉXICO, S. DE R.L. DE C.V.",INDUSTRIAS MANUFACTURERAS,CHIHUAHUA
SV REDES Y SOLUCIONES INTEGRALES PARA EDUCACION Y CAPACITACION S. DE R.L.,SERVICIOS EDUCATIVOS,JALISCO
SVAM INTERNATIONAL DE MEXICO S. DE R.L. DE C.V.,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",TAMAULIPAS
SYNERGY AGUA Y ENERGÍA SA DE CV,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",CIUDAD DE MÉXICO
SYP INTEGRAL CONSULTING S DE RL DE CV,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",QUERÉTARO
T.F. VICTOR SA DE CV,INDUSTRIAS MANUFACTURERAS,MÉXICO
T.G. DISTRIBUCIONES S.A. DE C.V.,INDUSTRIAS MANUFACTURERAS,ZACATECAS
T.I. CONSULTING S.C.,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",ZACATECAS
T4BIZ S. DE R.L. DE C.V.,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",SINALOA
TADIME S DE RL DE CV,INDUSTRIAS MANUFACTURERAS,CHIHUAHUA
"TALKTEL, S.A. DE C.V.",CORPORATIVOS,CIUDAD DE MÉXICO
TALLER INDUSTRIAL EL VERDE SA DE CV,INDUSTRIAS MANUFACTURERAS,JALISCO
TALLERES Y SERVICIOS SALAZAR S.A.,INDUSTRIAS MANUFACTURERAS,CHIAPAS
"TAMOGI SA PROMOTORA DE INVERSIÓN DE CV, SOCIEDAD FINANCIERA DE OBJETO MÚLTIPLE ENTIDAD NO REGULADA",SERVICIOS FINANCIEROS Y DE SEGUROS,MICHOACÁN DE OCAMPO
"TANI KASEI MEXICO, S.A. DE C.V.",INDUSTRIAS MANUFACTURERAS,CHIHUAHUA
"TANOOKY, SA DE CV","SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",NUEVO LEÓN
TAUVEX SA DE CV,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",SONORA
TBP SA DE CV,INDUSTRIAS MANUFACTURERAS,TLAXCALA
TECAP TECNOLOGÍA PARA EL DESARROLLO SOSTENIBLE. S.A.P.I. DE C.V.,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",CIUDAD DE MÉXICO
"TECH POWER, S.A. DE C.V.",OTROS SERVICIOS EXCEPTO ACTIVIDADES GUBERNAMENTALES,JALISCO
TECH STORM SA DE CV,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",CIUDAD DE MÉXICO
TECHNI FOAM DE MEXICO SA DE CV,INDUSTRIAS MANUFACTURERAS,MÉXICO
TECHNICAL OIL WELL SERVICE VANKARP S.A. DE C.V.,OTROS SERVICIOS EXCEPTO ACTIVIDADES GUBERNAMENTALES,VERACRUZ DE IGNACIO DE LA LLAVE
TECHNOLOGY VISION ZURIKATO S.A. DE C.V.,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",MÉXICO
TECHNOMAKER S.A. DE C.V.,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",MÉXICO
"TECNICA MINERAL, S.A. DE C.V.",MINERÍA,JALISCO
TECNICA TEST SA DE CV,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",QUERÉTARO
TECNO ALIANZA AGROPECUARIA S.A. DE C.V.,"AGRICULTURA, CRÍA Y EXPLOTACIÓN DE ANIMALES, APROVECHAMIENTO FORESTAL, PESCA Y CAZA",DURANGO
TECNO INDUSTRIAS HB S.A DE C.V.,INDUSTRIAS MANUFACTURERAS,GUANAJUATO
TECNO PLASTICOS SAN-BAR S.A. DE C.V.,INDUSTRIAS MANUFACTURERAS,JALISCO
TECNO RED VARLI S. DE R.L. DE C.V.,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",HIDALGO
"TECNO RED, S.A. DE C.V.","SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",ZACATECAS
TECNO SOCIAL SA DE CV,INDUSTRIAS MANUFACTURERAS,YUCATÁN
"TECNOALTEC, S. DE R.L. DE C.V.",INDUSTRIAS MANUFACTURERAS,MÉXICO
"TECNOCIENCIAS APLICADAS, S.A. DE C.V.","SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",CIUDAD DE MÉXICO
TECNOFERRE DE MEXICO SA DE CV,COMERCIO AL POR MENOR,OAXACA
TECNOLOGIA AGROPECUARIA DEL SUR S.P.R. DE R.L.,COMERCIO AL POR MAYOR,CHIAPAS
TECNOLOGIA AMBIENTAL ESPECIALIZADA SA DE CV,"SERVICIOS DE APOYO A LOS NEGOCIOS Y MANEJO DE RESIDUOS Y DESECHOS, Y SERVICIOS DE REMEDIACIÓN",COAHUILA DE ZARAGOZA
TECNOLOGÍA APLICADA EN MAQUINADOS S.A. DE C.V.,INDUSTRIAS MANUFACTURERAS,PUEBLA
TECNOLOGIA APLICADA EN SERVICIO A CLIENTES SA DE CV,INDUSTRIAS MANUFACTURERAS,QUERÉTARO
TECNOLOGIA DE CALIDAD SA DE CV,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",NUEVO LEÓN
"TECNOLOGÍA E INFORMÁTICA PARA LA SALUD, SA DE CV","SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",CIUDAD DE MÉXICO
TECNOLOGIA E INNOVACION PARA ZACATECAS S A P I DE CV,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",ZACATECAS
"TECNOLOGIA EN INFORMATICA MULTIPLE, SA DE CV",COMERCIO AL POR MAYOR,MÉXICO
TECNOLOGIA FISCAL DEL MAYAB,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",YUCATÁN
"TECNOLOGIA INNOVADORA, S.A. DE C.V.",SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL,CIUDAD DE MÉXICO
TECNOLOGIA LECHERA SA DE CV,"AGRICULTURA, CRÍA Y EXPLOTACIÓN DE ANIMALES, APROVECHAMIENTO FORESTAL, PESCA Y CAZA",COAHUILA DE ZARAGOZA
TECNOLOGÍA SOLAR DE MÉXICO S.A. DE C.V.,"GENERACIÓN, TRANSMISIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA, SUMINISTRO DE AGUA Y DE GAS POR DUCTOS AL CONSUMIDOR FINAL",TABASCO
TECNOLOGIA Y ACCESORIOS DE OCCIDENTE S.A. DE C.V.,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",COAHUILA DE ZARAGOZA
"TECNOLOGIA Y PRODUCTOS ESPECIALES, S.A. DE C.V.","SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",COAHUILA DE ZARAGOZA
"TECNOLOGIAS AGRIBEST, S.A. DE C.V,",COMERCIO AL POR MAYOR,CIUDAD DE MÉXICO
TECNOLOGIAS ALTERNATIVAS DEL NORESTE S.A DE C.V,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",TAMAULIPAS
"TECNOLOGÍAS APLICADAS A LA INDUSTRIALIZACION DE ALIMENTOS Y BEBIDAS, SA DE CV","AGRICULTURA, CRÍA Y EXPLOTACIÓN DE ANIMALES, APROVECHAMIENTO FORESTAL, PESCA Y CAZA",CHIAPAS
"TECNOLOGIAS BINAH, S.A. DE C.V.",INDUSTRIAS MANUFACTURERAS,GUERRERO
"TECNOLOGIAS DAAT, S.A. DE C.V.","SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",VERACRUZ DE IGNACIO DE LA LLAVE
TECNOLOGÍAS DE PROPULSIÓN AÉREA Y ESPACIAL MEXICANA S.A. DE C.V.,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",CIUDAD DE MÉXICO
TECNOLOGIAS DINAMARCA S.A. DE C.V.,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",MÉXICO
TECNOLOGIAS EN DISEÑO E IMPRESION 3D,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",CIUDAD DE MÉXICO
TECNOLOGÍAS KILICH SA DE CV,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",JALISCO
TECNOLOGÍAS Y EQUIPOS PARA LA INDUSTRIA ENERGÉTICA SA DE CV,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",MÉXICO
"TECNOTIFERET, S.A. DE C.V.","SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",COAHUILA DE ZARAGOZA
TECNOTIV,INDUSTRIAS MANUFACTURERAS,BAJA CALIFORNIA
TEGM APRENDIZAJE ORGANIZACIONAL SA DE CV,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",CIUDAD DE MÉXICO
TEJIDOS Y ACABADOS INDUSTRIALES SA DE CV,INDUSTRIAS MANUFACTURERAS,JALISCO
TEKAMOLO SC,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",CIUDAD DE MÉXICO
TEKFOR MÉXICO SA DE CV,INDUSTRIAS MANUFACTURERAS,GUANAJUATO
TEKHNE DISPOSITIVOS S. DE R.L. DE C.V.,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",CIUDAD DE MÉXICO
TEKNO RC AUTOMOTIVE,INDUSTRIAS MANUFACTURERAS,CIUDAD DE MÉXICO
TEKXPERTISE S.A. DE C.V.,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",QUINTANA ROO
TELEMETRIA MAS INGENIERÍA TOTAL SA DE CV,COMERCIO AL POR MAYOR,CIUDAD DE MÉXICO
TENCO INTEGRACION DE SISTEMAS S.A. DE C.V.,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",CHIHUAHUA
TENSEI SUSTAINABLE SOLUTIONS S.A DE C.V.,INDUSTRIAS MANUFACTURERAS,PUEBLA
TENSOESTRUCTURAL GLOBAL SERVICES SA DE CV,CONSTRUCCIÓN,YUCATÁN
TERCER ESCALÓN S.A. DE C.V.,SERVICIOS EDUCATIVOS,CIUDAD DE MÉXICO
"TERMOFOAM VALLADOLID, S.A DE C.V.",INDUSTRIAS MANUFACTURERAS,MICHOACÁN DE OCAMPO
TERMOSEMILLAS Y TERMOPROCESOS SAPI DE CV,INDUSTRIAS MANUFACTURERAS,CIUDAD DE MÉXICO
TERRACERIAS Y EDIFICACIONES MIZUL S.A. DE C.V.,CONSTRUCCIÓN,CHIAPAS
"TESSA-MEDICAL, S. DE R.L. DE C.V.",SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL,MICHOACÁN DE OCAMPO
TEXNOLGICA SA DE CV,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",SONORA
TEXTILES Y SINTETICOS MEXICANOS S. DE R.L. DE C.V.,COMERCIO AL POR MAYOR,AGUASCALIENTES
TEXTRON INTERNATIONAL MEXICO SOCIEDAD DE RESPONSABILIDAD LIMITADA DE CAPITAL VARIABLE,INDUSTRIAS MANUFACTURERAS,CHIHUAHUA
THERMION WIND HOLDINGS,"GENERACIÓN, TRANSMISIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA, SUMINISTRO DE AGUA Y DE GAS POR DUCTOS AL CONSUMIDOR FINAL",NUEVO LEÓN
THUMBSAT MEXICO S.A. DE C.V.,INDUSTRIAS MANUFACTURERAS,BAJA CALIFORNIA
TIERRAS DE MEXICO CON FUTURO,"AGRICULTURA, CRÍA Y EXPLOTACIÓN DE ANIMALES, APROVECHAMIENTO FORESTAL, PESCA Y CAZA",CHIAPAS
TIKIVA SA DE CV,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",CIUDAD DE MÉXICO
TILE COUNCIL OF NORTH AMERICA-MEXICO S DE RL DE CV,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",NUEVO LEÓN
TIS CONSULTING GROUP MEXICO S.A. DE C.V.,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",SONORA
"TIZAQUIM, S.A. DE C.V.","SERVICIOS DE APOYO A LOS NEGOCIOS Y MANEJO DE RESIDUOS Y DESECHOS, Y SERVICIOS DE REMEDIACIÓN",HIDALGO
TOH TICS S.A. DE C.V.,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",YUCATÁN
TOMATECHNOLOGIES SA DE CV,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",SINALOA
TOOLS & SERVICES DE MEXICO SA DE CV,INDUSTRIAS MANUFACTURERAS,NUEVO LEÓN
TORQUE DYNAMICS SA DE CV,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",JALISCO
TORTILLERIAS TULIPANES SA DE CV,INDUSTRIAS MANUFACTURERAS,JALISCO
TOTALSYSTEMS SA DE CV,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",NUEVO LEÓN
TP INTERMODAL SA DE CV,"TRANSPORTES, CORREOS Y ALMACENAMIENTO",QUERÉTARO
TRACSA ENERGIA SA DE CV,COMERCIO AL POR MAYOR,JALISCO
"TRAMES, S.A. DE C.V.",INDUSTRIAS MANUFACTURERAS,MÉXICO
"TRANS GRAN, S. A. DE C. V.","TRANSPORTES, CORREOS Y ALMACENAMIENTO",JALISCO
"TRANSFERENCIA DE TECNOLOGÍA E INNOVACIÓN AVANZADA, S DE RL DE CV","SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",NUEVO LEÓN
"TRANSMISIONES Y EQUIPOS MECÁNICOS, SA DE CV",INDUSTRIAS MANUFACTURERAS,QUERÉTARO
TRANSPORTADORA AGUILA REAL SA DE CV,"TRANSPORTES, CORREOS Y ALMACENAMIENTO",CHIHUAHUA
TRANSPORTES ALBINOS DEL NORESTE S.A. DE C.V.,"TRANSPORTES, CORREOS Y ALMACENAMIENTO",TAMAULIPAS
TRANSPORTES ONLINE S. DE R.L. DE C.V.,INDUSTRIAS MANUFACTURERAS,MÉXICO
"TRANSPORTES Y SERVICIOS LOGISTICS UP, S. DE R.L. DE C.V.","SERVICIOS DE APOYO A LOS NEGOCIOS Y MANEJO DE RESIDUOS Y DESECHOS, Y SERVICIOS DE REMEDIACIÓN",CIUDAD DE MÉXICO
TRATAQUIM SA DE CV,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",PUEBLA
TRECK AUTOMOTIVE DE MEXICO S DE RL DE CV,INDUSTRIAS MANUFACTURERAS,TLAXCALA
TREON REMOTE S. DE R.L.,INDUSTRIAS MANUFACTURERAS,COAHUILA DE ZARAGOZA
TRIASO S.A. DE C.V.,INDUSTRIAS MANUFACTURERAS,DURANGO
"TRIBELL NATURE, S.A. DE C.V.",INDUSTRIAS MANUFACTURERAS,COAHUILA DE ZARAGOZA
TRÍGONO SOLUCIONES CORPORATIVAS S.A. DE C.V.,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",SINALOA
TRINITY RAIL DE MEXICO S DE RL DE CV,INDUSTRIAS MANUFACTURERAS,CIUDAD DE MÉXICO
TRITONIX TECHNOLOGIES S DE RL DE CV,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",QUERÉTARO
TROGLO DE LEON SA DE CV,INDUSTRIAS MANUFACTURERAS,PUEBLA
TROMOSA S.A DE C.V.,INDUSTRIAS MANUFACTURERAS,MORELOS
TROPHE INDUSTRIAS SA DE CV,INDUSTRIAS MANUFACTURERAS,NUEVO LEÓN
TROQUELADOS REX S.A. DE C.V.,INDUSTRIAS MANUFACTURERAS,CIUDAD DE MÉXICO
T-SYSTEMS MEXICO SA DE CV,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",PUEBLA
TURBORREACTORES SA DE CV,INDUSTRIAS MANUFACTURERAS,QUERÉTARO
TUZOSOFT S DE RL DE CV,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",HIDALGO
TWISTTER AGENCIA DIGITAL SA DE CV,INFORMACIÓN EN MEDIOS MASIVOS,GUANAJUATO
U.S. KONDO MÉXICO SA DE CV,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",QUERÉTARO
UBICACION TECNOLOGICA EN LINEA S.A. DE C.V.,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",SAN LUIS POTOSÍ
UCUMSA S.DE R.L.MI,"AGRICULTURA, CRÍA Y EXPLOTACIÓN DE ANIMALES, APROVECHAMIENTO FORESTAL, PESCA Y CAZA",QUINTANA ROO
UH NAISA OLALA WINIK S.A. DE C.V.,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",QUINTANA ROO
"ULTRA LABORATORIOS, S.A. DE C.V.",INDUSTRIAS MANUFACTURERAS,JALISCO
"ULTRASIST, S.A. DE C.V.","SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",CIUDAD DE MÉXICO
ULTRAZOOM SA DE CV,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",NUEVO LEÓN
