Nombre de la Institución o Empresa,Sector,Entidad Federativa
INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA MANUEL VELASCO SUAREZ,SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL,CIUDAD DE MÉXICO
INSTITUTO NACIONAL DE ASTROFISICA OPTICA Y ELECTRONICA,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,PUEBLA
INSTITUTO NACIONAL DE MEDICINA GENÓMICA,SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL,CIUDAD DE MÉXICO
INSTITUTO DE INVESTIGACIONES DR. JOSE MARIA LUIS MORA,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,CIUDAD DE MÉXICO
CENTRO DE INVESTIGACION EN GEOGRAFIA Y GEOMATICA INGENIERO JORGE L TAMAYO AC,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,CIUDAD DE MÉXICO
EL COLEGIO MEXIQUENSE AC,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,MÉXICO
"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRICOLAS Y PECUARIAS",AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,CIUDAD DE MÉXICO
SERVICIO GEOLÓGICO MEXICANO,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,HIDALGO
"CENTRO DE INVESTIGACION CIENTIFICA Y DE EDUCACION SUPERIOR DE ENSENADA, BAJA CALIFORNIA.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,BAJA CALIFORNIA
CENTRO DE INVESTIGACION Y DOCENCIA ECONOMICAS AC,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,CIUDAD DE MÉXICO
EL COLEGIO DE SONORA OPD,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,SONORA
CENTRO DE INVESTIGACION EN MATERIALES AVANZADOS SC,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,CHIHUAHUA
CENTRO DE INVESTIGACION CIENTIFICA DE YUCATAN AC,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,YUCATÁN
UNIDAD TAMAULIPAS,SERVICIOS EDUCATIVOS,TAMAULIPAS
INSTITUTO NACIONAL DE ELECTRICIDAD Y ENERGIAS LIMPIAS,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,MORELOS
INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS,SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL,CIUDAD DE MÉXICO
CENTRO DE INVESTIGACION Y DESARROLLO TECNOLOGICO EN ELECTROQUIMICA SC,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,QUERÉTARO
CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL INSTITUTO POLITÉCNICO NACIONAL.,SERVICIOS EDUCATIVOS,CIUDAD DE MÉXICO
"HOSPITAL GENERAL DE CULIACÁN ""DR. BERNARDO J. GASTÉLUM""",SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL,SINALOA
UNIDAD IRAPUATO,SERVICIOS EDUCATIVOS,GUANAJUATO
UNIDAD SALTILLO,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,COAHUILA DE ZARAGOZA
UNIDAD QUERÉTARO,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,QUERÉTARO
CENTRO DE ESTUDIOS MEXICANOS Y CENTROAMERICANOS - CEMCA,ACTIVIDADES DEL GOBIERNO Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES,CIUDAD DE MÉXICO
CENTRO DE INVESTIGACIONES Y ESTUDIOS SUPERIORES EN ANTROPOLOGIA SOCIAL,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,CIUDAD DE MÉXICO
INSTITUTO NACIONAL DE ANTROPOLOGIA E HISTORIA,ACTIVIDADES DEL GOBIERNO Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES,CIUDAD DE MÉXICO
"INSTITUTO NACIONAL DE CARDIOLOGIA ""IGNACIO CHAVEZ""",SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL,CIUDAD DE MÉXICO
EL COLEGIO DE MICHOACAN AC,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,MICHOACÁN DE OCAMPO
EL COLEGIO DE TLAXCALA AC,SERVICIOS EDUCATIVOS,TLAXCALA
INSTITUTO DE MOVILIDAD Y TRANSPORTE DEL ESTADO DE JALISCO,ACTIVIDADES DEL GOBIERNO Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES,JALISCO
UNIDAD DE GENÓMICA AVANZADA,SERVICIOS EDUCATIVOS,GUANAJUATO
